original_text,translation_method,model1_name,model1_translation,model2_name,model2_translation,model3_name,model3_translation,model4_name,model4_translation
The University of the Faroe Islands is a tertiary-level educational institution that offers research-based education at an international level.,neural_machine_translation,GPTSw3 - 6.7B,"Fróðskaparsetrið á Fjóni er ein útbúgvingarstovnur á hægri stigi, ið bjóðar granskingargrundað útbúgving á altjóða stigi.",Claude,"Fróðskaparsetur Føroya er ein hægri lærustovnur, sum bjóðar granskingargrundaða útbúgving á altjóða støði.",NLLB 1.3,"Fróðskaparsetrið er ein framhaldsútbúgvingarstovnur, sum bjóðar granskingargrundaða útbúgving á altjóða støði.",Llama 3.1 - 8B,"Fróðskaparsetrið í Førum er ein hægri skúla, sum veitandi undirvísing við granskingarstovni á altjóðaðum støði."
"As a place of study and work, the university should be a space of diversity, tolerance, inclusion, equality, and mutual respect.",neural_machine_translation,GPTSw3 - 6.7B,"Sum lærustovnur og arbeiðspláss, skuldi fróðskaparsetrið verið eitt rúm fyri margfeldi, tolsemi, inkludering, javnstøðu og felags virðing.",Claude,"Sum eitt stað fyri lestur og arbeiði, eigur universiteti at vera eitt rúm fyri fjølbroytni, tolsemi, inklusión, javnstøðu og sínámillum virðing.",NLLB 1.3,"Sum eitt stað at lesa og arbeiða, eigur universitetið at vera eitt rúm við fjølbroytni, tolsemi, inklusjón, javnstøðu og felags virðing.",Llama 3.1 - 8B,"Sum ein lesnaðar- og arbeiðspláss, skuldi universitetið verið eitt stað fyri margfeldi, tollyndi, íkast, javnstøðu og samhugsi."
The University of the Faroe Islands is also a Faroese university and the only Faroese university.,neural_machine_translation,GPTSw3 - 6.7B,Fróðskaparsetrið á Fjóni er eisini eitt fróðskaparsetur og tað einasta fróðskaparsetrið í Føroyum.,Claude,Fróðskaparsetur Føroya er eisini eitt føroyskt universitet og tað einasta føroyska universitetið.,NLLB 1.3,Fróðskaparsetrið er eisini eitt føroyskt fróðskaparsetrið og einasta føroyskt fróðskaparsetrið.,Llama 3.1 - 8B,Fróðskaparsetrið á Føri í myndum er eisini eitt fróðskaparsetur á Føri og einasta fróðskaparsetur á Føri.
In this lies a special obligation to contribute to the development of the Faroese language and culture.,neural_machine_translation,GPTSw3 - 6.7B,Í hesum liggur ein serlig skylda at stuðla menningini av tí føroyska máli og mentanini.,Claude,Í hesum liggur ein serlig skylda at geva sítt íkast til menningina av føroyskum máli og mentan.,NLLB 1.3,Í hesum liggur ein serlig skylda at vera við til at menna føroyskt mál og mentan.,Llama 3.1 - 8B,Í hesum er ein serstakur skylda at stuðla mennaði av farskum máli og mentan.
The foundation for a Faroese university is set out below:,neural_machine_translation,GPTSw3 - 6.7B,Grunnurin undir einum fróðskaparsetri í Føroyum er settur niður niðanfyri:,Claude,Grundarlagið fyri einum føroyskum universiteti er sett fram niðanfyri:,NLLB 1.3,Grunnurin undir einum føroyskum fróðskaparsetningi er lagdur niðanfyri:,Llama 3.1 - 8B,Stovnurin fyri eitt fróðskaparsetur í Farium er settur niðriundir.
"Its purpose is to develop more comparable, competitive, and comprehensible higher education systems in Europe.",neural_machine_translation,GPTSw3 - 6.7B,"Endamálið er at menna meira sambæriligar, kappingarførar og skiljandi hægri útbúgvingarskipanir í Evropa.",Claude,"Endamálið er at menna meira samanberiligar, kappingarførar og skiljiligar hægri útbúgvingarskipanir í Evropa.",NLLB 1.3,"Hennara endamál er at menna meira samanberandi, kappingarførar og skilagóðar hægri útbúgvingarskipanir í Evropa.",Llama 3.1 - 8B,"Endamálið er at menna meira líknandi, kappingarhugað og skiljandi hægri útbúgvingarskipanir í Europa."
Research-based education is a hallmark of any internationally recognized university.,neural_machine_translation,GPTSw3 - 6.7B,"Undirvísing, sum byggir á gransking, er eyðkenni fyri altjóða góðkendar universitet.",Claude,Granskingargrundað útbúgving er eitt eyðkenni fyri allar altjóða viðurkendar universitetir.,NLLB 1.3,Granskingargrundað útbúgving er eyðkenni fyri altjóða viðurkenda universitet.,Llama 3.1 - 8B,Náttúruvísindalig útbúgving er eitt eyðkenni fyri eitt altjóðað universitet.
Research initiatives should support the UN’s Sustainable Development Goals.,neural_machine_translation,GPTSw3 - 6.7B,Rannsóknarætlanir skulu stuðla ST's Sustainable Development Goals.,Claude,Granskingarátøk eiga at stuðla burðardyggum menningarmálum hjá ST.,NLLB 1.3,Granskingartiltøk eiga at stuðla ST's Sustainable Development Goals.,Llama 3.1 - 8B,Granskingarætlanir skuldu stuðlað teimum varandi menningar málunum hjá ST.
The University should offer a learning environment that supports student-centred learning and all aspects of student life.,neural_machine_translation,GPTSw3 - 6.7B,"Fróðskaparsetrið átti at bjóða eitt læruumhvørvi, sum stuðlar lærarastýrda læring og øllum pørtum av lívinum hjá lesandi.",Claude,"Universiteti eigur at bjóða eitt læruumhvørvi, sum stuðlar undir næmingamiðaða læring og allar síður av studentalívinum.",NLLB 1.3,"Fróðskaparsetrið eigur at bjóða eitt læruumhvørvi, sum stuðlar næmingamiðaðari læru og øllum pørtum av næmingalívinum.",Llama 3.1 - 8B,"Fróðskaparseturin skuldi havt eitt lærdómsumhvørvi, sum stuðlar næmingarstýrdum lærdómi og allar næmingaligar viðurskiftir."
"To succeed both domestically and internationally, it is fundamental that the University remains a good and inspiring place to study and work.",neural_machine_translation,GPTSw3 - 6.7B,"Skilagóð úrslit bæði innanlands og altjóða krevja, at fróðskaparsetrið framhaldandi er eitt gott og hugkveikjandi stað at lesa og arbeiða.",Claude,"Fyri at eydnast bæði innanlands og altjóða, er tað avgerandi, at Universiteti framhaldandi er eitt gott og íblásandi stað at læra og arbeiða.",NLLB 1.3,"Fyri at eydnast bæði innanlands og uttanlands, er tað grundleggjandi, at Fróðskaparsetrið verður eitt gott og inspirerandi stað at lesa og arbeiða.",Llama 3.1 - 8B,"Fyri at eydnast bæði innandóms og útlendskt, er tað grundleggjandi, at universitetið verður eitt gott og hugkveikandi stað at lesa og arbeiða."
Sufficient and accessible student housing is also a critical necessity.,neural_machine_translation,GPTSw3 - 6.7B,Nógv og tøk studentahús eru eisini ein alneyðug treyt.,Claude,Nøktandi og atkomuligt lestrarbústaðarøki er eisini ein avgerandi neyðsemi.,NLLB 1.3,Nógvir og atkomiligir lestrarbústaðir eru eisini ein avgerandi neyð.,Llama 3.1 - 8B,Nóg mikið og røtt tilgongd studentabúð er eisini ein týðandi neyð.
"The University of the Faroe Islands should be well-organized and adequately funded, have competent administrative staff, and modern digital tools.",neural_machine_translation,GPTSw3 - 6.7B,"Fróðskaparsetrið á Fjóni átti at verið væl skipað og nógv fíggjað, havt dugnalig starvsfólk og nýmótans telduamboð.",Claude,"Fróðskaparsetur Føroya eigur at vera væl skipað og nøktandi fíggjað, hava dugnaligt umsitingarfólk og nútímans talgild amboð.",NLLB 1.3,"Fróðskaparsetrið eigur at vera væl skipað og nøktandi fíggjað, hava skikkað fyrisitingarligt starvsfólk, og nýmótans talgild amboð.",Llama 3.1 - 8B,"Fróðskaparseturin í Førum skuldi verið væl skipaður og nóg væl fíggjarðaður, havt dugnalig stjórafólk og nýggj teldutól."
"Professional leadership, an inclusive work-culture and attention to well-being, forms the basis for a high-performing University.",neural_machine_translation,GPTSw3 - 6.7B,"Faglig leiðsla, ein inkluderandi arbeiðsmentan og ansur eftir trivnaði eru grundleggjandi fyri eitt framúrskarandi fróðskaparsetur.",Claude,"Professionelt leiðsla, ein inkluderandi arbeiðsmentan og fokus á trivnað, myndar grundarlagið fyri einum væl virkandi universiteti.",NLLB 1.3,"Yrkislig leiðsla, ein inkluderandi arbeiðsgongd og atlit til trivnað, er grundarlagið undir einum framkomnum fróðskaparsetrinum.",Llama 3.1 - 8B,"Yrkisleiðsla, eitt altætandi arbeiðsmiljø og huglegu fyri vælveru eru grundarlagið fyri eitt framúrskarandi fróðskaparsetur."
To provide high-quality and research-based higher education at an international level that meets the need of the Faroese society.,neural_machine_translation,GPTSw3 - 6.7B,"At veita hægri útbúgving av høgum góðsku og við vísindaligum grundarlag á altjóða stigi, sum svarar til tørvin í samfelagnum.",Claude,"At veita dygdargóða og granskingargrundaða hægri útbúgving á altjóða støði, sum nøktar tørvin hjá føroyska samfelagnum.",NLLB 1.3,"At veita dygdargóða og granskingargrundaða hægri útbúgving á altjóða støði, sum nøktar tørvin í føroyska samfelagnum.",Llama 3.1 - 8B,"At veða fram framúrskarandi og granskaðan hægri útbúgving á altjóða støði, sum svarar tøkrum hjá samfelagnum."
"To carry out high-quality research that is especially relevant for Faroese society, but also for the global academic community.",neural_machine_translation,GPTSw3 - 6.7B,"At gera gransking av høgum góðsku, sum er serliga viðkomandi fyri samfelagið í Føroyum, men eisini fyri alt heimsins akademiska samfelag.",Claude,"At fremja dygdargóða gransking, sum er serliga viðkomandi fyri føroyska samfelagið, men eisini fyri altjóða granskingarumhvørvið.",NLLB 1.3,"At gera dygdargóða gransking, sum er serliga viðkomandi fyri føroyskt samfelag, men eisini fyri altjóða akademiska samfelagið.",Llama 3.1 - 8B,"At fremja framúr góða gransking, sum er serliga týðandi fyri samfelagið í Fároyum, men eisini fyri heimsins vísindaliga felagsskap."
"With a strong foundation, the University of the Faroe Islands can develop new initiatives that are of great importance to Faroese society.",neural_machine_translation,GPTSw3 - 6.7B,"Við sterkum grundarlag kann Fróðskaparsetrið á Fámjinsvegi menna nýggj átøk, sum hava stóran týdning fyri samfelagið.",Claude,"Við einum sterkum grundarlagi kann Fróðskaparsetur Føroya menna nýggj átøk, sum hava stóran týdning fyri føroyska samfelagið.",NLLB 1.3,"Við einum sterkum grundarlagi kann Fróðskaparsetrið menna nýggj átøk, sum hava stóran týdning fyri føroyska samfelagið.",Llama 3.1 - 8B,"Við einum sterkum grundarlagi kann Fróðskaparsetrið á Føri í mótinum menna nýggj ætlanir, sum hava stóran týdning fyri samfelagið í Føri."
Develop research and higher education that is relevant for major sectors in the Faroe Islands,neural_machine_translation,GPTSw3 - 6.7B,"Virkja gransking og hægri útbúgving, sum er viðkomandi fyri stórar vinnugreinar á Færeyjum.",Claude,"Menna gransking og hægri útbúgving, sum er viðkomandi fyri týðandi vinnugreinar í Føroyum",NLLB 1.3,"Menna gransking og hægri útbúgving, sum er viðkomandi fyri stórar vinnugreinir í Føroyum",Llama 3.1 - 8B,"Stuðla grundútbúgving og hægri útbúgving, sum hava týdning fyri høvuðsøkini í Føriuoyggjunum."
The University of the Faroe Islands has a duty to meet the urgent need for knowledge in Faroese society.,neural_machine_translation,GPTSw3 - 6.7B,Fróðskaparsetrið á Fjóni hevur skyldu at nøkta átrokandi tørvin á vitan í samfelagnum.,Claude,Fróðskaparsetur Føroya hevur skyldu at nøkta tørvin á vitan í føroyska samfelagnum.,NLLB 1.3,Fróðskaparsetrið hevur skyldu til at nøkta átrokandi tørvin á vitan í føroyskum samfelag.,Llama 3.1 - 8B,Fróðskaparsetrið á Føriu hevur skyldu at nøkta átrokandi tørvin á vitan í samfelagnum.
"Technology plays an increasingly important role in the fishing and aquaculture industries, which require advanced skills in engineering.",neural_machine_translation,GPTSw3 - 6.7B,"Tøknin spælir ein týdningarmiklan leiklut í fiskiskapi og alivinnuni, sum krevja framúrskarandi førleikar innan verkfrøði.",Claude,"Tøkni hevur ein alsamt týdningarmiklari leiklut í fiskivinnu og alistøðum, sum krevja framkomnar førleikar í verkfrøði.",NLLB 1.3,"Tøknin hevur ein alsamt størri leiklut í fiskivinnuni og alivinnuni, sum krevja framkomnar førleikar í verkfrøði.",Llama 3.1 - 8B,"Tøkniforrit spæla ein økandi týdning fyri fiskiskipan og akvakulturin, sum krevja framkominar førleikar í verkfrøði."
"Additionally, it is believed that there are significant",neural_machine_translation,GPTSw3 - 6.7B,"Her er tað, vit vita um Helene, hvussu hon rakti Florida og hvussu hon fór tvørtur um USA.",Claude,"Harumframt verður hildið, at tað eru týðandi",NLLB 1.3,"Tað verður eisini hildið, at tað eru týðandi",Llama 3.1 - 8B,"túgvaðar, at tað er týdningarmikið."
"Other key industries that have a specific need for relevant research include the construction industry, tourism, green energy, and transportation.",neural_machine_translation,GPTSw3 - 6.7B,"Annar týdningarmikil ídnaður, sum hevur serligan tørv á viðkomandi gransking, eru byggiídnaðurin, ferðavinnan, grøna orka og samferðsla.",Claude,"Aðrar týdningarmiklar vinnugreinar, sum hava eitt serligt tørv á viðkomandi gransking, eru byggivinna, ferðavinna, grøn orka og flutningur.",NLLB 1.3,"Aðrar lyklavinnur, sum hava serligan tørv á viðkomandi gransking, eru byggivinna, ferðavinnan, grøn orka og samferðsla.",Llama 3.1 - 8B,"Onnur lyklaføraídnaðarvinnur, sum hava serligar tørv á viðkomandi kanning, eru byggiføraídnaður, ferðavinnan, grøn orka og flutningur."
Offer education to new target groups and strengthen the international dimension,neural_machine_translation,GPTSw3 - 6.7B,Bjóða útbúgving til nýggjar málbólkar og styrkja altjóða dimensiónina.,Claude,Bjóða útbúgving til nýggjar málbólkar og styrkja altjóða víddir,NLLB 1.3,Tilboð um útbúgving til nýggjar málbólkar og styrking av altjóða dimensjónini,Llama 3.1 - 8B,Bjóða nýggjum málbólki undirvísing og styrkja altjóða dimensjónina.
Many Faroese between the ages of and still migrate abroad to receive their university education.,neural_machine_translation,GPTSw3 - 6.7B,Nógv fólk millum og enn fara uttanlands at fáa hægri útbúgving.,Claude,Nógvir føroyingar millum 18 og 25 ár flyta enn uttanlands fyri at fáa sína universitetsútbúgving.,NLLB 1.3,Nógvir føroyingar millum aldurin á og framvegis flyta av landinum at fáa sína universitetsútbúgving.,Llama 3.1 - 8B,Nógvir fólk millum 18 og 25 flyta framvegis uttanlands fyri at fáa sína universitetsútbúgving.
"This also applies to programs where many already attend the University of the Faroe Islands, like social education and nursing.",neural_machine_translation,GPTSw3 - 6.7B,"Hetta er eisini galdandi fyri skeið, har nógv longu ganga á Fróðskaparsetrinum, sum til dømis sosialpedagogikk og sjúkrarøkt.",Claude,"Hetta er eisini galdandi fyri útbúgvingar, har nógv longu ganga á Fróðskaparsetri Føroya, so sum námsfrøði og sjúkrarøkt.",NLLB 1.3,"Hetta er eisini galdandi fyri útbúgvingar, har nógv longu ganga á Fróðskaparsetrinum, sum sosialundirvísing og sjúkrarøkt.",Llama 3.1 - 8B,"Hetta er eisini galdandi fyri skúlan, har nógv longu ganga á universitetinum á Føri, so sum sosial útbúgving og sjúkrarøkt."
Develop new types of education programs and new modes of delivery,neural_machine_translation,GPTSw3 - 6.7B,Vaksa um nýggj sløg av útbúgvingartilgongdum og nýggjar mátar at bera tey út.,Claude,Menna nýggj sløg av útbúgvingarskipanum og nýggjar hættir at veita tær,NLLB 1.3,Útvikla nýggj sløg av útbúgvingartilboðum og nýggjar útbreiðslumøguleikar,Llama 3.1 - 8B,Udvæl nýggj sløg av útbúgvingarætlanum og nýggj háttir at útbúgva tey.
"For some, this is a challenge that can lead to dropout.",neural_machine_translation,GPTSw3 - 6.7B,"Fyri summi er hetta ein avbjóðing, sum kann elva til fráfall.",Claude,"Fyri summi er hetta ein avbjóðing, sum kann føra til fráfall.",NLLB 1.3,"Fyri summi er hetta ein avbjóðing, sum kann elva til, at tey gevast í skúlanum.",Llama 3.1 - 8B,"Fyri summi er hetta ein avbjóðing, sum kann enda við at tey geva upp."
"For the period, the University of the Faroe Islands sets these strategic goals:",neural_machine_translation,GPTSw3 - 6.7B,Í tíðarskeiðnum setir Fróðskaparsetrið á Fjóni hesar strategisku mál:,Claude,Fyri tíðarskeiðið setur Fróðskaparsetur Føroya hesi strategisku mál:,NLLB 1.3,"For the period, the University of the Faroe Islands sets these strategic goals:",Llama 3.1 - 8B,Fyri tíðarskeiðið setur Fróðskaparsetrið á Føri í hesum strategisku málum:
All programs at the University of the Faroe Islands are quality assured in accordance with the Bologna Process,neural_machine_translation,GPTSw3 - 6.7B,Allar útbúgvingar á Fróðskaparsetrinum eru váttaðar í samsvari við Bologna-sáttmálan.,Claude,Øll útbúgvingarskipanin á Fróðskaparsetri Føroya er góðskutryggjað samsvarandi Bologna-tilgongdini.,NLLB 1.3,All programs at the University of the Faroe Islands are quality assured in accordance with the Bologna Process,Llama 3.1 - 8B,Allar skúlaverkini á Fróðskaparsetrinum í Føriuoyggjum eru tryggjaði í samsvar við Bologna tilgongdina.
The Faroe Islands should obtain membership in the EHEA and Erasmus+ as soon as possible.,neural_machine_translation,GPTSw3 - 6.7B,Føroyar áttu at fingið limaskap í EHEA og Erasmus+ so skjótt sum til ber.,Claude,Føroyar eiga at fáa limaskað í EHEA og Erasmus+ sum skjótast.,NLLB 1.3,Føroyar eiga at fáa limaskap í EHEA og Erasmus+ sum skjótast.,Llama 3.1 - 8B,Farooyggjarnar skuldu fingið limaskap í EHEA og Erasmus+ so skjótt sum gjørligt.
"This will ensure flexible international mobility for students, educators and researchers at the University.",neural_machine_translation,GPTSw3 - 6.7B,"Hetta fer at tryggja smidliga altjóða flytføri fyri lesandi, undirvísarum og granskarum á fróðskaparsetrinum.",Claude,"Hetta fer at tryggja smidliga altjóða flytføri fyri lesandi, undirvísarar og granskarar á Universitetinum.",NLLB 1.3,"Hetta fer at tryggja smidligan altjóða flytføri hjá lesandi, pedagogum og granskarum á Fróðskaparsetrinum.",Llama 3.1 - 8B,"Hetta tryggjar beinleiðis altjóðaðan flutning fyri næmingar, undirvísingarar og granskarar á universitetinum."
All programs at the University of the Faroe Islands are well-founded in research,neural_machine_translation,GPTSw3 - 6.7B,Allar ætlanir á Fróðskaparsetrinum eru væl grundaðar á gransking.,Claude,Øll útbúgvingarskipanir á Fróðskaparsetri Føroya eru væl grundaðar í gransking.,NLLB 1.3,All programs at the University of the Faroe Islands are well-founded in research,Llama 3.1 - 8B,Allar skúlafólkaskúlarnir á Universitetinum í Føriuoyggjum eru væl grundaðir á gransking.
"such as nursing, teacher education, and social education.",neural_machine_translation,GPTSw3 - 6.7B,"so sum sjúkrasystir, læraraskúla og sosiala útbúgving.",Claude,"sum til dømis sjúkrarøkt, læraraútbúgving og námsfrøði.",NLLB 1.3,"Til dømis sjúkrarøkt, læraraútbúgving og sosialútbúgving.",Llama 3.1 - 8B,"So sum sjúkrarøkt, læraraskúlan og sosialar røkt."
"Research in Faroese, with projects that extend into other research environments both domestically and internationally, will be strengthened.",neural_machine_translation,GPTSw3 - 6.7B,"Rannsóknir í Føroyum við verkætlanum, sum breiða seg út í aðrar granskingarumhvørvi, bæði innanlands og altjóða, verða styrktar.",Claude,"Gransking í føroyskum, við verkætlanum sum røkka út í onnur granskingarmiljø bæði innanlands og altjóða, verður styrkt.",NLLB 1.3,"Gransking á føroyskum, við verkætlanum, sum røkka út í onnur granskingarumhvørvi bæði innanlands og uttanlands, verður styrkt.",Llama 3.1 - 8B,"Gransking í Fari, við verkætlanum, sum røkkur eisini í onnur granskingarumhvørvi bæði innandis og uttanlands, verður styrkt."
Knowledge centres are established in areas important for major sectors in the Faroe Islands,neural_machine_translation,GPTSw3 - 6.7B,"Kunnandi miðstøðir eru settar á økjum, sum eru týdningarmiklar fyri stórar vinnugreinar á Færeyjum.",Claude,"Vitanarmiðstøðir verða settar á stovn í økjum, sum eru týdningarmikil fyri høvuðsvinnugreinarnar í Føroyum.",NLLB 1.3,"Kunningardeplini verða sett á stovn á økjum, sum hava týdning fyri stórar vinnugreinir í Føroyum",Llama 3.1 - 8B,"Kunnleikamiðstøðir verða settar upp í økjum, sum hava týdning fyri høvuðsdeildirnar á Føriuoyggjunum."
"Additionally, the University intends to develop knowledge centres relevant to the construction industry, tourism, green energy, and transportation.",neural_machine_translation,GPTSw3 - 6.7B,"Umframt hetta ætlar fróðskaparsetrið at menna vitanarstovur, sum eru viðkomandi fyri byggiídnaðin, ferðavinnu, grøna orku og flutning.",Claude,"Harumframt ætlar Universiteti at menna vitanarmiðstøðir, sum eru viðkomandi fyri byggivinnuna, ferðavinnuna, grøna orku og flutning.",NLLB 1.3,"Yvirhøvur ætlar Fróðskaparsetrið at menna kunnandi miðstøðir við týdningi fyri byggivinnuna, ferðavinnuna, grøna orku og samferðsluna.",Llama 3.1 - 8B,"Afturat ætlar universitetið at menna vitanarstovur, sum hava týdning fyri byggihandilin, ferðavinnuna, grøna orkuna og flutningin."
Research collaboration with the Faroese health care system should be developed and intensified.,neural_machine_translation,GPTSw3 - 6.7B,Frágreiðingar samstarv við heilsuverkið í Føroyum skuldi verið ment og økt.,Claude,Granskingarsamstarv við føroyska heilsuverkið eigur at verða ment og styrkt.,NLLB 1.3,Granskingarsamstarv við føroyska heilsuverkið eigur at mennast og intensiverast.,Llama 3.1 - 8B,Kanningar samstarv við heilsuverkið í Føri í skuldi verið ment og økt.
The University of the Faroe Islands offers new or updated programs to Faroese youth,neural_machine_translation,GPTSw3 - 6.7B,Fróðskaparsetrið á Fjóni bjóðar nýggjum ella dagførdum skeiðum til ungfólk í Føroyum.,Claude,Fróðskaparsetur Føroya bjóðar nýggjar ella dagførdar útbúgvingar til føroysk ung.,NLLB 1.3,Fróðskaparsetrið bjóðar nýggjar ella dagførdar útbúgvingar til føroyskan ungdóm,Llama 3.1 - 8B,Fróðskaparsetrið á Føri í tænastu og nýggjum ella dagførdum skúlagreinum fyri ungfólk í Føri.
The programs at the University in engineering and business/economics will be updated and developed.,neural_machine_translation,GPTSw3 - 6.7B,Ástøðini á fróðskaparsetrinum í verkfrøði og búskaparfrøði verða dagførd og ment.,Claude,Útbúgvingarnar í verkfrøði og búskapi/handilsfrøði á Universitetinum verða dagførdar og mentar.,NLLB 1.3,Útbúgvingarnar á Fróðskaparsetrinum í verkfrøði og vinnulívi/búskapi verða dagførdar og mentar.,Llama 3.1 - 8B,Skeiðini í verkfrøði og handilsskapi á universitetinum verða dagførd og ment.
